customer_id,date,year,month,total_deposits,total_purchases,bills_amount,net_flow,net_flow_lag_1,net_flow_lag_3,net_flow_lag_12,net_flow_ma_3,pct_change,pct_change_lag_1,pct_change_lag_3,pct_change_ma_3,deposits_lag_1,purchases_lag_1,bills_lag_1,customer_id_cat,pred_nivel,pred_pctchange
pyme_01,1986-01-01,1986,1,498649.73,223460.06,19706.63,255483.04,,,,,,,,,,,,pyme_01,,
pyme_01,1986-02-01,1986,2,405950.44,177278.48,19862.29,208809.67,255483.04,,,,-0.1826867646478607,,,,498649.73,223460.06,19706.63,pyme_01,,
pyme_01,1986-03-01,1986,3,437558.66,196443.7,18578.96,222536.0,208809.67,,,,0.06573608396584318,-0.1826867646478607,,,405950.44,177278.48,19862.29,pyme_01,,
pyme_01,1986-04-01,1986,4,428246.15,167475.23,20827.86,239943.05,222536.0,255483.04,,228942.90333333332,0.07822127655750077,0.06573608396584318,,,437558.66,196443.7,18578.96,pyme_01,,
pyme_01,1986-05-01,1986,5,427285.42,192187.68,20382.91,214714.82,239943.05,208809.67,,223762.90666666665,-0.10514257445673036,0.07822127655750077,-0.1826867646478607,-0.012909801374838917,428246.15,167475.23,20827.86,pyme_01,,
pyme_01,1986-06-01,1986,6,435726.48,164858.22,19642.59,251225.68,214714.82,222536.0,,225731.29,0.17004350235349364,-0.10514257445673036,0.06573608396584318,0.01293826202220453,427285.42,192187.68,20382.91,pyme_01,,
pyme_01,1986-07-01,1986,7,466713.37,192501.93,20453.74,253757.7,251225.68,239943.05,,235294.5166666667,0.010078667117151552,0.17004350235349364,0.07822127655750077,0.047707401484754684,435726.48,164858.22,19642.59,pyme_01,,
pyme_01,1986-08-01,1986,8,417407.5,188254.21,19063.87,210089.42,253757.7,214714.82,,239899.4,-0.1720865219065274,0.010078667117151552,-0.10514257445673036,0.024993198337971607,466713.37,192501.93,20453.74,pyme_01,,
pyme_01,1986-09-01,1986,9,381275.26,172132.32,20294.5,188848.44,210089.42,251225.68,,238357.6,-0.10110447256220711,-0.1720865219065274,0.17004350235349364,0.0026785491880392622,417407.5,188254.21,19063.87,pyme_01,,
pyme_01,1986-10-01,1986,10,416717.76,176023.44,19566.96,221127.37,188848.44,253757.7,,217565.18666666668,0.1709250550335497,-0.10110447256220711,0.010078667117151552,-0.08770410911719433,381275.26,172132.32,20294.5,pyme_01,,
pyme_01,1986-11-01,1986,11,450688.63,193969.31,19882.74,236836.58,221127.37,210089.42,,206688.41,0.07104145452460275,0.1709250550335497,-0.1720865219065274,-0.034088646478394935,416717.76,176023.44,19566.96,pyme_01,,
pyme_01,1986-12-01,1986,12,763602.49,356823.02,21293.12,385486.36,236836.58,188848.44,,215604.12999999998,0.6276470467526596,0.07104145452460275,-0.10110447256220711,0.046954012331981786,450688.63,193969.31,19882.74,pyme_01,,
pyme_01,1987-01-01,1987,1,417854.79,181526.88,19426.99,216900.91,385486.36,221127.37,255483.04,281150.10333333333,-0.4373318163579121,0.6276470467526596,0.1709250550335497,0.28987118543693735,763602.49,356823.02,21293.12,pyme_01,,
pyme_01,1987-02-01,1987,2,379420.57,183164.38,19883.94,176372.25,216900.91,236836.58,208809.67,279741.2833333333,-0.1868533423857005,-0.4373318163579121,0.07104145452460275,0.08711889497311676,417854.79,181526.88,19426.99,pyme_01,,
pyme_01,1987-03-01,1987,3,432521.0,191593.31,19902.35,221025.34,176372.25,385486.36,222536.0,259586.50666666668,0.2531752585795102,-0.1868533423857005,0.6276470467526596,0.0011539626696823364,379420.57,183164.38,19883.94,pyme_01,,
pyme_01,1987-04-01,1987,4,416130.35,187355.73,20073.1,208701.52,221025.34,216900.91,239943.05,204766.16666666666,-0.055757498212648415,0.2531752585795102,-0.4373318163579121,-0.12366996672136747,432521.0,191593.31,19902.35,pyme_01,,
pyme_01,1987-05-01,1987,5,449559.45,212036.52,19720.58,217802.34,208701.52,176372.25,214714.82,202033.03666666665,0.043606869753512134,-0.055757498212648415,-0.1868533423857005,0.003521472660387085,416130.35,187355.73,20073.1,pyme_01,,
pyme_01,1987-06-01,1987,6,480661.43,214050.38,20167.17,246443.88,217802.34,221025.34,251225.68,215843.06666666665,0.13150244391313715,0.043606869753512134,0.2531752585795102,0.08034154337345796,449559.45,212036.52,19720.58,pyme_01,,
